iter	Logloss
0	0.676443174
1	0.6612542327
2	0.6477687786
3	0.6345358878
4	0.6234753352
5	0.6132137299
6	0.6027787833
7	0.5940626204
8	0.5857504265
9	0.5777166273
10	0.570484872
11	0.5634349677
12	0.5576631812
13	0.552124604
14	0.5467654166
15	0.5407429249
16	0.5353553905
17	0.5306222837
18	0.527717872
19	0.52376607
20	0.5196846556
21	0.5158315711
22	0.5127403421
23	0.5094653152
24	0.5067835075
25	0.5042637418
26	0.5014707161
27	0.4989343436
28	0.4962708354
29	0.4936134507
30	0.4911336449
31	0.4890860403
32	0.4864749767
33	0.4840339872
34	0.4819882972
35	0.4798825915
36	0.4779450706
37	0.4762098008
38	0.4743126324
39	0.4727147442
40	0.4713093214
41	0.4696524894
42	0.4681776181
43	0.4667392936
44	0.4651909986
45	0.4637645012
46	0.4626723176
47	0.4613820114
48	0.4605638561
49	0.4592947497
50	0.4585687307
51	0.45785057
52	0.4565561018
53	0.4556069332
54	0.4544880279
55	0.4534946484
56	0.4524983699
57	0.451468071
58	0.4506295246
59	0.4500006388
60	0.4495952815
61	0.4488307101
62	0.4480188549
63	0.4471393386
64	0.4464375246
65	0.445709663
66	0.4450382705
67	0.4445241075
68	0.4435941325
69	0.4429615002
70	0.442302898
71	0.4417866024
72	0.4412809065
73	0.4409608359
74	0.4401851861
75	0.4395567137
76	0.4388263616
77	0.4381424567
78	0.437361672
79	0.4367495944
80	0.4360900153
81	0.4356569427
82	0.4351552948
83	0.4347966442
84	0.4342693653
85	0.4336325531
86	0.4329880761
87	0.4324670273
88	0.4321802932
89	0.4318154971
90	0.4312986728
91	0.4308996899
92	0.430514603
93	0.4301813611
94	0.4296286876
95	0.4292512392
96	0.4290371472
97	0.4286366511
98	0.4283389066
99	0.4277522517
100	0.4276428213
101	0.4272448453
102	0.4269148137
103	0.4266601896
104	0.4262461949
105	0.4259433054
106	0.4256467807
107	0.4253074158
108	0.4248473165
109	0.4243470187
110	0.424112591
111	0.4237631764
112	0.4235644326
113	0.4232938031
114	0.4229897644
115	0.4226084053
116	0.4223476554
117	0.4219740678
118	0.4218376129
119	0.4214785639
120	0.4213275918
121	0.4211966672
122	0.4209336895
123	0.4207458941
124	0.4205842113
125	0.4203266506
126	0.4200860315
127	0.4196320275
128	0.4195403965
129	0.4194260892
130	0.4190823907
131	0.4188337447
132	0.4186435075
133	0.4184018794
134	0.4180233522
135	0.4177520177
136	0.4174181147
137	0.4171034512
138	0.4167515036
139	0.4165275755
140	0.4163396141
