iter	Logloss
141	0.4160178357
142	0.4156857661
143	0.4153135792
144	0.415145857
145	0.4148836704
146	0.4147144853
147	0.4143400519
148	0.4141528832
149	0.4139245426
150	0.4136643444
151	0.4134123903
152	0.413138016
153	0.4127969832
154	0.4124835007
155	0.4123101047
156	0.4121341107
157	0.4118793555
158	0.4115814535
159	0.4113439462
160	0.4111686225
161	0.4109910597
162	0.4107041849
163	0.4105722836
164	0.4104087081
165	0.4102403474
166	0.4100294675
167	0.4098025015
168	0.4094761464
169	0.4093071786
170	0.4089702834
171	0.408771486
172	0.4084727672
173	0.4082552547
174	0.4080072439
175	0.4078723532
176	0.407724213
177	0.4075335585
178	0.4073954573
179	0.4072160259
180	0.407108401
181	0.4069563341
182	0.4067452749
183	0.4065220998
184	0.4064169431
185	0.406249455
186	0.4060375579
187	0.4057824764
188	0.4055925988
189	0.4054296327
190	0.405185596
191	0.404984855
192	0.4048748066
193	0.4046912452
194	0.4045690335
195	0.4043866661
196	0.4042629035
197	0.4041269061
198	0.4038467196
199	0.4036877401
200	0.4035613195
201	0.4034642554
202	0.403320393
203	0.4031283818
204	0.402906305
205	0.4027464138
206	0.4025564914
207	0.4024358781
208	0.4022718875
209	0.4020764518
210	0.4018608926
211	0.4017161564
212	0.4015130876
213	0.4013642415
214	0.4012110098
215	0.401064549
216	0.4007945441
217	0.4006786302
218	0.4004963921
219	0.4003577498
220	0.4001749633
221	0.4000069196
222	0.399841064
223	0.3996209158
224	0.399351043
225	0.3992160584
226	0.3990476353
227	0.3988264264
228	0.3986135104
229	0.3983160312
230	0.3982337995
231	0.3980941921
232	0.3979191074
233	0.397864156
234	0.3977370564
235	0.3975586575
236	0.3973489905
237	0.3971857747
238	0.397007354
239	0.3967587629
240	0.3965998301
241	0.3963472794
242	0.3961838947
243	0.396017797
244	0.3958683462
245	0.3956962799
246	0.3954631113
247	0.3952316905
248	0.3951187902
249	0.3949859624
250	0.3947632433
251	0.3945133506
252	0.3942836321
253	0.3941464176
254	0.3939949272
255	0.3938499903
256	0.3937087926
257	0.3935730814
258	0.393426257
259	0.3933058909
260	0.3930887153
261	0.3928848326
262	0.3927759135
263	0.3926184419
264	0.3924605987
265	0.3922591948
266	0.3921107949
267	0.3919392839
268	0.3917166034
269	0.3916246122
270	0.3915069534
271	0.3913867228
272	0.3912094388
273	0.391068539
274	0.3909215632
275	0.390752332
276	0.3905676598
277	0.390465447
278	0.3903113079
279	0.3901360472
280	0.3899930851
281	0.3898737652
282	0.3896558158
283	0.3895696278
284	0.3894513669
285	0.3893701081
286	0.3891978054
287	0.3890455936
288	0.3888974446
289	0.3887104816
290	0.3884851629
291	0.3883469962
292	0.3881504664
293	0.3880105553
294	0.3879100186
295	0.3877862706
296	0.3876118197
297	0.3875108336
298	0.3874415972
299	0.3873285954
300	0.3871585578
301	0.3869795737
302	0.3867817843
303	0.3866395185
304	0.3865052508
305	0.3863513877
306	0.3862765476
307	0.3860968777
308	0.3859041615
309	0.3857740992
310	0.3855894762
311	0.3853642577
312	0.3852452269
313	0.3851786712
314	0.3850580661
315	0.3849288661
316	0.3847773864
317	0.38465237
318	0.384538778
319	0.3843735697
320	0.3842218259
321	0.3840876155
322	0.3839005814
323	0.3837549229
324	0.3835992872
325	0.383455354
326	0.3833635642
327	0.38326097
328	0.3831913251
329	0.3830757763
330	0.3829905849
331	0.3828571911
332	0.3826126438
333	0.3825225596
334	0.3824207766
335	0.3823311904
336	0.3821578369
337	0.3820232741
338	0.3818347846
339	0.3816968775
340	0.3815311799
341	0.3814699171
342	0.3814046518
343	0.3812857385
344	0.3811672403
345	0.381011984
346	0.3809762443
347	0.3808663031
348	0.3807549961
349	0.3806494589
350	0.3805220583
351	0.3804210257
352	0.3802790891
353	0.3801802615
354	0.3799935977
355	0.3798486234
356	0.3797670532
357	0.3796275052
358	0.3794891911
359	0.3793303009
360	0.3792225583
361	0.379043816
362	0.3788667281
363	0.3788162704
364	0.3787171384
365	0.3785636115
366	0.3783962313
367	0.3782937918
368	0.3781282616
369	0.3780558776
370	0.3779527411
371	0.3778351616
372	0.3777562527
373	0.3776778953
374	0.377531498
375	0.3773678259
376	0.3772058864
377	0.3770754238
378	0.3769898384
379	0.3769249191
380	0.3767645063
381	0.3766045799
382	0.3765091227
383	0.3763869396
384	0.3762217917
385	0.3760926889
386	0.375997352
387	0.3759702949
388	0.3758468027
389	0.3757306849
390	0.3755998942
391	0.3754744044
392	0.3753775054
393	0.3752278059
394	0.3751676254
395	0.375052118
396	0.3749713173
397	0.3748444971
398	0.3746887863
399	0.37456273
400	0.3744442104
401	0.3743776053
402	0.3742547035
403	0.3740919632
404	0.3739610982
405	0.3738599655
406	0.3737261283
407	0.373671795
408	0.3735315277
409	0.3734134475
410	0.3732910299
411	0.3732343325
412	0.3730865534
413	0.3729814225
414	0.3728300329
415	0.3727099498
416	0.3725661429
417	0.3724853107
418	0.3723366952
419	0.3722352494
420	0.3721548455
421	0.3721017548
422	0.3719772586
423	0.3718644726
424	0.3717381599
425	0.3716085297
426	0.3715707232
427	0.3714909935
428	0.3713603616
429	0.371263372
430	0.3711349645
431	0.3710078542
432	0.3708313358
433	0.370702507
434	0.3705640776
435	0.3705034276
436	0.3703659915
437	0.3702301367
438	0.3700836305
439	0.3699951356
440	0.3699201818
441	0.3698022016
442	0.369617828
443	0.3694692735
444	0.3693771063
445	0.3693042997
446	0.3692241541
447	0.3690945937
448	0.3689819614
449	0.3688483139
450	0.3687447944
451	0.3686826737
452	0.3685777208
453	0.3684472469
454	0.3683695784
455	0.3683314824
456	0.3682873286
457	0.3682430428
458	0.3681544412
459	0.367999952
460	0.3678947695
461	0.367743176
462	0.3676087985
463	0.3675160869
464	0.3673931983
465	0.3673187717
466	0.3672344657
467	0.3671181363
468	0.3670065965
469	0.3669681262
470	0.3668472948
471	0.3667627445
472	0.366647473
473	0.366528093
474	0.3664428186
475	0.3663613309
476	0.3662826931
477	0.366192496
478	0.3661391124
479	0.3659796112
480	0.3658491533
481	0.3657418993
482	0.3656466886
483	0.3656064147
484	0.3654733712
485	0.3653619078
486	0.3652281216
487	0.3651049325
488	0.3650158089
489	0.3649454499
490	0.3648561265
491	0.3647530064
492	0.3646519203
493	0.3645234276
494	0.3644103983
495	0.3643594979
496	0.364291512
497	0.3641846165
498	0.3640772809
499	0.3639446146
500	0.3639388285
501	0.3638265217
502	0.3637696573
503	0.3636548141
504	0.3635989317
505	0.3634464061
506	0.3633343517
507	0.3632416103
508	0.3630762285
509	0.3630148685
510	0.3628926332
511	0.362756866
512	0.3626239274
513	0.3625688098
514	0.3624515383
515	0.3624430618
516	0.3623389648
517	0.3622472842
518	0.3621574249
519	0.3620521695
520	0.3619236718
521	0.3618819179
522	0.3617881927
523	0.3616805393
524	0.3616214745
525	0.3614862952
526	0.3613829946
527	0.361288018
528	0.3611808258
529	0.3611056135
530	0.3610373066
531	0.3609100316
532	0.360800407
533	0.3607060499
534	0.3606569797
535	0.3605991735
536	0.3605673083
537	0.3604525834
538	0.3603484858
539	0.3602384547
540	0.3601470916
541	0.3600749634
542	0.3599875561
543	0.3599777186
544	0.3598633989
545	0.3597698084
546	0.3596066004
547	0.359511857
548	0.3594563966
549	0.3593517591
550	0.3592914595
551	0.359232775
552	0.3591446011
553	0.359060725
554	0.3589919504
555	0.3588640295
556	0.3587782039
557	0.3587705322
558	0.3586852019
559	0.3585499057
560	0.3584482532
561	0.3583178043
562	0.3582277902
563	0.3581469587
564	0.3580740133
565	0.3580491443
566	0.3579646378
567	0.3579197715
568	0.3578488523
569	0.3577696069
570	0.3576997943
571	0.3575652664
572	0.3574583269
573	0.3573091975
574	0.3571854264
575	0.3570465623
576	0.3569264317
577	0.3568128452
578	0.3566782694
579	0.3565586967
580	0.3564995679
581	0.3563968846
582	0.3563017635
583	0.3562038457
584	0.3561455359
585	0.3560400288
586	0.3559825194
587	0.3558757765
588	0.3557788748
589	0.3556697543
590	0.3555389507
591	0.3554393072
592	0.3553398246
593	0.3552395457
594	0.3551162582
595	0.3550191402
596	0.3549410073
